,author,updated_at,like_count,text,public
742,@hartistic25,2024-09-14T16:57:04Z,0,Susujiin 😭😭 keren bngttt,True
743,@fikywandi1872,2024-09-14T16:56:37Z,1,PENDUKUNG ONIC HILANG DARI LANE😂,True
744,@multazam2265,2024-09-14T16:55:46Z,0,Belum berakhir santay,True
745,@miracle7835,2024-09-14T16:54:55Z,0,Ini baru RRQ yang gw kenal 😂😂,True
746,@irfanarianto3065,2024-09-14T16:54:46Z,0,KB pengen jdi analis tapi belum punya ilmu😅😅😅😅,True
747,@yusufeko9770,2024-09-14T16:54:26Z,0,Idol baru nih ling sutsujin licin bgt,True
748,@agus-kw8cn,2024-09-14T16:51:07Z,0,"kairiul main tetap 2  0
albart main 2 0 
apalagi alasan yaa",True
749,@pemasafrizal28,2024-09-14T16:51:04Z,0,Merindingg coyy nonton royal derby,True
750,@dedehardi-mu7lz,2024-09-14T16:49:52Z,0,yam yam kukuruyuk,True
751,@wtfmaddox2,2024-09-14T16:49:26Z,97,"Respect sutsujin from nothing to something.
Telah berhasil melawan king kairi dgn proses yg tidak mudah💪",True
752,@ridhomuharram9592,2024-09-14T16:48:54Z,1,Sutsujin sh klo gw bilang gila.. Ling nya😅,True
753,@kadang_viral,2024-09-14T16:48:47Z,0,p,True
754,@ahmadsutriya774,2024-09-14T16:48:44Z,0,Rezz banyak gaya wkwk,True
755,@risaarisa2330,2024-09-14T16:48:27Z,0,Match paling rame,True
756,@rekodara05,2024-09-14T16:48:14Z,2,Mnit trkhir pas liat depend si sanz asli kocak..kirain kdepan bisa buat moment ternyata ngasih kil gratis😂😂😂😂😂😂,True
757,@dilzycs6262,2024-09-14T16:47:57Z,0,"Aowkoawkoakaka ""panatik onik""",True
758,@IlhamPradana-v4d,2024-09-14T16:47:46Z,0,"Onic mainin kairi dong , masa ga di mainin lagi lawan rrq",True
759,@cimoymoy6143,2024-09-14T16:47:40Z,0,sudahi main kuat² nya kita yg terkuat😂😂😂😂😂,True
760,@aandialova6440,2024-09-14T16:46:01Z,0,"Damage skylar sakit parah gila..
ling nya sunsujin lincah parah..
RRQ❤❤❤❤❤",True
761,@boomberfive9831,2024-09-14T16:44:11Z,3,"Ngerinya pas play off ntar kayak BTR, semoga RRQ selalu konsisten sampe juara",True
762,@angkiblackdemon,2024-09-14T16:40:51Z,0,Sutsujin : Psikopat berdarah dingin 🥶,True
763,@dann7658,2024-09-14T16:40:42Z,0,"telfon ap bren, KING RRQ BUTUH LAWAN SEPADAN",True
764,@wtfmaddox2,2024-09-14T16:40:36Z,0,15:12 kombek g tuh,True
765,@wtfmaddox2,2024-09-14T16:39:37Z,11,8:20 di ingame momentum rrq kombek 😊,True
766,@angkiblackdemon,2024-09-14T16:39:33Z,0,Mau RRQ atau ONIQ semangat musuh kita sebenernya masih menunggu di LUAR INDONESIA..,True
767,@adesepiono8277,2024-09-14T16:37:34Z,0,gila seru coo matchnya,True
768,@angkiblackdemon,2024-09-14T16:36:56Z,0,Lihat RRQ berasa lihat TIMNAS INDO maen,True
769,@gandi9929,2024-09-14T16:35:57Z,3,"Entertain banget, class semua player 2 team ini",True
770,@XLumens,2024-09-14T16:35:44Z,0,"full war,good match",True
771,@wahidepooll5633,2024-09-14T16:35:35Z,0,Sampe lupa kalo masi ada hazle,True
772,@Noyoudofficial,2024-09-14T16:34:55Z,0,RRQ JUARA 🏆🥇 MANA NIE PENDUKUNG RRQ LIKE Y 🎉,True
773,@feibocilreplay1603,2024-09-14T16:33:41Z,9,"alasan onic kalah:
1. tunggu playoff.
2. tunggu Albert main.
3. tunggu coach yeb main
4. tunggu adi nge tweet
5. tunggu kiris",True
774,@afrinaldiano,2024-09-14T16:33:36Z,43,"perhatiin gerakan bibir coach Khezcute sebelum pick ruby, dia ngomong “gatotkaca pasti” dan bener predictnya last pick onic gatotkaca 😊",True
775,@A.L.a.n.g,2024-09-14T16:33:14Z,2,Caster hbis suara klau game seru gini...gg,True
776,@dennytw8678,2024-09-14T16:32:28Z,0,"Pinternya onic pegangin dyren trus, Tp syg Kumar blunder",True
777,@ZENNN-28,2024-09-14T16:32:03Z,6,Tetap konsisten yah RRQ 😊,True
778,@bjorka_nism0709,2024-09-14T16:30:56Z,0,minimal menang dlu baru recal2 rezzz😂😂bot,True
779,@jiraxcreator1314,2024-09-14T16:30:15Z,0,Mampus onic😅😅,True
780,@bangkhan5554,2024-09-14T16:29:48Z,0,"Rinz kurang banget disini, ngambil ulti gk tepat, tapi sukurnya ditutup sama 3 Monster lainnya",True
781,@Kubengcool,2024-09-14T16:29:14Z,0,Ini yg 4 kali juara mpl ?? Leg 1 leg 2 nyusruk..,True
782,@Dvr.Zombiee,2024-09-14T16:29:07Z,0,Sutsujin gg banget njir,True
783,@ranggapraditya4479,2024-09-14T16:26:48Z,1,"Sutsujin kok jadi gg bangt makaniknya,perasaan awal” muncul di epos gak kaya gini 😅😅",True
784,@weyahyaweh,2024-09-14T16:26:31Z,0,Itu  botak di pegangin Mulu dah ler,True
785,@AndrianArifien,2024-09-14T16:26:14Z,0,Mana kiboy.....masih ada alasankah 😂,True
786,@abilhopkins8770,2024-09-14T16:26:02Z,0,Gokil sih game kaya akan mekanik❤,True
787,@derianistirep8961,2024-09-14T16:25:42Z,0,GG Dyrennn,True
788,@Yasin-p3r,2024-09-14T16:24:54Z,0,Dingin,True
789,@didiikurnaedii,2024-09-14T16:24:47Z,0,Botak fnoc ga di ajak main dari early pas war😢 slalu datang telat,True
790,@HeriSaja-ot3lm,2024-09-14T16:24:33Z,0,"Ini Match adu skill.. Bukan adu blunder kayak team papan bawah😂ngeri nontonnya ini,, 
Kemarin aku nonton rrq lawan evos ling sutsujin nampak biasa gt, eeehhhhhhh ternyata pas lawan onic skillnya Ling sutsujin di kluarin di depan kairi😂
Saya yakin pas lawan evos sutsujin sengaja main ling biasa aja, agar tak di rispek oleh ONIC.. Eh taunya ngerii kaliiiii ahh😂",True
791,@FeriFeri-gq6ww,2024-09-14T16:24:22Z,0,Katanyah di langit ada onic wkwk 😂ko kalah dek,True
792,@Kawanlam4,2024-09-14T16:23:44Z,5,Pertandingan seru banget,True
793,@voidaablanc,2024-09-14T16:20:57Z,4,"RRQ bisa buktikan kalau player full Indo juga ga kalah kuat, ga kayak kemarin beli 2 PH malah terancam ga lolos playoff, lolos pun pulang paling awal. Udah paling bener buat RRQ full indo, RRQ ga butuh player PH maupun coach dari PH. Kuncinya chemistrry sama coach Khezcute",True
794,@MuhammadReza0228,2024-09-14T16:20:30Z,2,Gelo game full mekanik,True
795,@ekoajipradigdoekoajipradig6240,2024-09-14T16:20:08Z,0,rezz terlau PD.,True
796,@kadek_kadua,2024-09-14T16:19:49Z,0,NICE KING 🎉,True
797,@kensianturi509,2024-09-14T16:19:48Z,0,Kelas rrq❤,True
798,@nurdinramadhan2326,2024-09-14T16:19:23Z,0,"20:43 yang mau liat outplay dari sutsuling, ya sama sama",True
799,@unknownlifeform5884,2024-09-14T16:19:13Z,0,"worth banget disebut royal derby, yg nonton diajak roller coaster..",True
800,@jiraxcreator1314,2024-09-14T16:19:08Z,0,Yok bisa yok rrq juara season 14,True
801,@anggayudhaswara9095,2024-09-14T16:18:25Z,0,sutsujin ngeriiii,True
802,@RirinBorin-ub8sp,2024-09-14T16:18:09Z,0,"Gausah nyalihin Albert , kalo kalah ya kalah aja pake kairi juga",True
803,@Prunull24,2024-09-14T16:17:51Z,5,"Taun taun kmaren onic sllu mnang lawan siapa pun,,,jdi agak bosen karna udah ktebak .tpi taun, Ini akhir nya ada yg berkmbang beri perlawan nan sengit....jdi asik nonton nya,😊",True
804,@rifataamrullah9776,2024-09-14T16:17:26Z,0,Udah g disepong cewek masing2 mainnya kaya boots,True
